model,old_auc,tuned_auc,delta_auc,old_ap,tuned_ap,delta_ap,old_best_f1,tuned_best_f1,delta_best_f1,old_threshold,tuned_threshold
extra_trees,0.8670908499524114,0.8670908499524114,0.0,0.4971820580279445,0.4971820580279445,0.0,0.5003194888178913,0.5003194888178913,0.0,0.56,0.56
lightgbm,0.8723155833992171,0.8746186713044704,0.0023030879052532427,0.5049781822901998,0.5069362207887586,0.0019580384985588006,0.5107509096923586,0.5107655502392344,1.4640546875832605e-05,0.6900000000000001,0.66
xgboost,0.8782618962679218,0.8782618962679218,0.0,0.5118321482813546,0.5118321482813546,0.0,0.5165981662978185,0.5165981662978185,0.0,0.7100000000000001,0.7100000000000001
hgb_labelcoded,0.8775207050841959,0.8792052887184874,0.00168458363429147,0.494313589429,0.5011765245304683,0.006862935101468348,0.5107746068724519,0.5162110616656072,0.005436454793155243,0.66,0.7100000000000001
catboost_native,0.8767654521338263,0.8783187036705481,0.0015532515367218114,0.5092791599526656,0.5117428445407711,0.0024636845881055303,0.5105960264900662,0.5108225108225108,0.00022648433244465416,0.73,0.74
rank_ensemble,0.8802415368577048,0.8807351662370313,0.0004936293793265101,0.5216072132459159,0.5231559009872208,0.0015486877413048994,0.5171052631578947,0.5208538587848933,0.0037485956269985854,0.88,0.88
