model,threshold_label,threshold,accuracy,balanced_accuracy,f1,precision,recall,mcc,predicted_positive_rate,roc_auc,average_precision
extra_trees,0.50,0.5,0.8747492118085411,0.7405444491909948,0.4950895436164067,0.4379151762902402,0.5694352159468439,0.4297617527806923,0.14022642591000287,0.8670908499524114,0.4971820580279445
extra_trees,base_rate,0.10783892232731442,0.5329607337345944,0.7192695032300706,0.3064481804639285,0.18244013683010263,0.9568106312292359,0.27441873584319354,0.5655631986242476,0.8670908499524114,0.4971820580279445
extra_trees,best_f1,0.56,0.8879335053023789,0.7263203451883543,0.5003194888178913,0.48184615384615387,0.520265780730897,0.4377217506536337,0.11643737460590427,0.8670908499524114,0.4971820580279445
extra_trees,best_balanced_accuracy,0.25,0.7253511034680424,0.7824056881046793,0.4017480880287186,0.26254589963280295,0.8551495016611296,0.36700070921389605,0.3512467755803955,0.8670908499524114,0.4971820580279445
extra_trees,best_mcc,0.63,0.8987532244196045,0.7078503614567777,0.4973319103521878,0.5352220520673813,0.46445182724252493,0.4427252532657634,0.09357982229865291,0.8670908499524114,0.4971820580279445
extra_trees,recall_at_least_0.80,0.29000000000000004,0.7631842934938378,0.7811195300861771,0.422707423580786,0.28672985781990523,0.8039867109634552,0.3797037377476897,0.3023789051304099,0.8670908499524114,0.4971820580279445
lightgbm,0.50,0.5,0.8485955861278304,0.7670686499716763,0.4857629593575079,0.38325652841781876,0.6631229235880398,0.42527180657872515,0.18658641444539983,0.8723155833992171,0.5049781822901998
lightgbm,base_rate,0.10783892232731442,0.6188019489825165,0.7568636230101733,0.3454724409448819,0.21198852483768685,0.932890365448505,0.31910583538367826,0.47456291200917167,0.8723155833992171,0.5049781822901998
lightgbm,best_f1,0.6900000000000001,0.8940240756663801,0.726520972177714,0.5107509096923586,0.5085638998682477,0.5129568106312292,0.45133354886607907,0.10877042132416165,0.8723155833992171,0.5049781822901998
lightgbm,best_balanced_accuracy,0.33,0.7790197764402408,0.7815243328598939,0.4337128167462358,0.2996701344836336,0.7847176079734219,0.38796058535390104,0.28238750358268844,0.8723155833992171,0.5049781822901998
lightgbm,best_mcc,0.6900000000000001,0.8940240756663801,0.726520972177714,0.5107509096923586,0.5085638998682477,0.5129568106312292,0.45133354886607907,0.10877042132416165,0.8723155833992171,0.5049781822901998
lightgbm,recall_at_least_0.80,0.3,0.7613929492691316,0.7789473206731183,0.4200626959247649,0.2846353552041539,0.8013289036544851,0.37634186557771904,0.3035970192032101,0.8723155833992171,0.5049781822901998
xgboost,0.50,0.5,0.796073373459444,0.7902055926340891,0.4529027297193387,0.3186367324857993,0.7827242524916943,0.4079706304141796,0.2649039839495557,0.8782618962679218,0.5118321482813546
xgboost,base_rate,0.10783892232731442,0.49699054170249357,0.7087487402444826,0.2956050571944612,0.17409289682070678,0.9787375415282392,0.2650510503338719,0.606262539409573,0.8782618962679218,0.5118321482813546
xgboost,best_f1,0.7100000000000001,0.8904413872169676,0.7376561836685521,0.5165981662978185,0.4927623642943305,0.5428571428571428,0.4556590218992248,0.11880194898251648,0.8782618962679218,0.5118321482813546
xgboost,best_balanced_accuracy,0.46,0.7719977070793924,0.7927764678069594,0.436614730878187,0.2976104272266474,0.8192691029900332,0.39753755568068433,0.2968615649183147,0.8782618962679218,0.5118321482813546
xgboost,best_mcc,0.77,0.9001146460303812,0.717959544270684,0.5119047619047619,0.5410806809770541,0.4857142857142857,0.45727467931413984,0.0968042419031241,0.8782618962679218,0.5118321482813546
xgboost,recall_at_least_0.80,0.48000000000000004,0.7827457724276297,0.7912062994579949,0.44326110907087773,0.3062674448109617,0.8019933554817276,0.40130302503084925,0.28238750358268844,0.8782618962679218,0.5118321482813546
hgb_labelcoded,0.50,0.5,0.8091860131842935,0.7841192491176708,0.45950882890196876,0.3308007013442431,0.7521594684385382,0.409698487643595,0.24519919747778735,0.8775207050841959,0.49431358942900006
