k,size_min,size_max,silhouette,calinski_harabasz,davies_bouldin
2,1358,12598,0.5623991486829293,6518.5557502720485,0.9885341200368216
3,1156,8164,0.2548506977464113,5684.411852371404,1.2895568938351474
4,194,8274,0.2714416899074962,4986.8687627227955,1.1531357140330096
5,174,6043,0.20536704911093845,4615.080710205124,1.2759391882012059
6,172,5802,0.2065072855841713,4321.830631315218,1.236258908031793
7,157,4492,0.20229394939310616,4218.882634086009,1.2160631330522307
8,158,3789,0.20045210266195243,4094.2380145518073,1.19886179744222
